class_id,AP_model1,AP_model2,diff_AP
0,0.787744759556883,0.0,-0.787744759556883
1,0.9230243116844329,0.0,-0.9230243116844329
2,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
mAP@0.5,0.855384535620658,0.0,-0.855384535620658
