epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1735.04,1.10848,0.7067,0.89967,0.91306,0.91239,0.92283,0.61535,1.10469,0.72539,0.90747,0.00132868,0.00132868,0.00132868
43,1778.66,1.10972,0.73283,0.89908,0.91701,0.91483,0.93296,0.58424,1.18766,0.77695,0.92307,0.00132043,0.00132043,0.00132043
44,1821.97,1.08589,0.71074,0.90072,0.92356,0.93154,0.94175,0.61614,1.09686,0.73208,0.90749,0.00131218,0.00131218,0.00131218
45,1863.85,1.09513,0.70418,0.88886,0.89012,0.91621,0.9273,0.60275,1.13955,0.74969,0.92712,0.00130393,0.00130393,0.00130393
46,1901.95,1.08851,0.70322,0.8913,0.90986,0.8781,0.90646,0.59319,1.12779,0.7659,0.919,0.00129568,0.00129568,0.00129568
47,1943.64,1.10427,0.71563,0.90197,0.91868,0.92052,0.93574,0.62407,1.05999,0.72965,0.89708,0.00128742,0.00128742,0.00128742
48,1985.89,1.11028,0.71296,0.90105,0.91212,0.89947,0.93117,0.61344,1.1202,0.75645,0.91618,0.00127917,0.00127917,0.00127917
49,2029.36,1.07985,0.70803,0.88854,0.91475,0.9172,0.93358,0.61537,1.08441,0.72056,0.90769,0.00127092,0.00127092,0.00127092
50,2072.73,1.08352,0.69915,0.90158,0.9126,0.908,0.92635,0.60424,1.13569,0.73812,0.91085,0.00126267,0.00126267,0.00126267
51,2110.51,1.09171,0.68909,0.89526,0.88454,0.92371,0.92195,0.6156,1.07779,0.72245,0.9027,0.00125442,0.00125442,0.00125442
52,2152.45,1.07628,0.70424,0.89257,0.91288,0.92038,0.93065,0.62046,1.05791,0.72088,0.9002,0.00124617,0.00124617,0.00124617
53,2194.08,1.07345,0.69479,0.89239,0.89923,0.91951,0.92884,0.62399,1.10197,0.71544,0.91116,0.00123791,0.00123791,0.00123791
54,2242.64,1.05805,0.69904,0.89065,0.91707,0.91698,0.93319,0.62368,1.07323,0.72014,0.90224,0.00122966,0.00122966,0.00122966
55,2280.61,1.07831,0.6925,0.89548,0.88128,0.89655,0.91079,0.60416,1.08781,0.73304,0.90797,0.00122141,0.00122141,0.00122141
56,2322.41,1.07398,0.67329,0.89062,0.90326,0.92616,0.9217,0.62126,1.06009,0.70404,0.89775,0.00121316,0.00121316,0.00121316
57,2365.39,1.0597,0.68343,0.8904,0.90681,0.92013,0.9195,0.60643,1.07538,0.725,0.89986,0.00120491,0.00120491,0.00120491
58,2407.57,1.06478,0.68,0.88805,0.91371,0.90678,0.92057,0.61629,1.07691,0.73005,0.90172,0.00119666,0.00119666,0.00119666
59,2450.58,1.06951,0.70201,0.8891,0.92435,0.91891,0.94769,0.6328,1.06397,0.68965,0.89763,0.0011884,0.0011884,0.0011884
60,2488.17,1.07536,0.69379,0.88794,0.90816,0.91081,0.93474,0.61349,1.08754,0.71451,0.9004,0.00118015,0.00118015,0.00118015
61,2530.69,1.06222,0.67961,0.89529,0.90867,0.92193,0.92057,0.61949,1.06079,0.7201,0.89979,0.0011719,0.0011719,0.0011719
62,2572.8,1.04655,0.65805,0.88601,0.91936,0.92808,0.93812,0.62745,1.0691,0.70673,0.89908,0.00116365,0.00116365,0.00116365
63,2615.03,1.05586,0.68504,0.89139,0.89001,0.91199,0.93318,0.62856,1.04986,0.71148,0.8918,0.0011554,0.0011554,0.0011554
64,2658.01,1.02455,0.67003,0.88026,0.9161,0.91643,0.93242,0.63571,1.05477,0.70147,0.89679,0.00114715,0.00114715,0.00114715
65,2695.28,1.05121,0.66243,0.88316,0.92978,0.92648,0.93966,0.62858,1.08019,0.70043,0.90053,0.00113889,0.00113889,0.00113889
66,2737.83,1.03586,0.66276,0.88319,0.91701,0.92124,0.92022,0.62197,1.04988,0.70631,0.8904,0.00113064,0.00113064,0.00113064
67,2780.01,1.05019,0.68252,0.88987,0.90912,0.92715,0.92614,0.62401,1.06501,0.70509,0.90072,0.00112239,0.00112239,0.00112239
68,2824.68,1.02723,0.65853,0.88161,0.91513,0.93683,0.93235,0.62916,1.0507,0.68636,0.89382,0.00111414,0.00111414,0.00111414
69,2866.95,1.0466,0.67593,0.88832,0.9273,0.92574,0.92982,0.62535,1.07049,0.69666,0.90107,0.00110589,0.00110589,0.00110589
70,2906.39,1.03997,0.66528,0.88439,0.90581,0.9231,0.92142,0.6302,1.04689,0.69121,0.893,0.00109764,0.00109764,0.00109764
71,2949.99,1.02597,0.6492,0.88053,0.89615,0.92677,0.92419,0.62633,1.04391,0.68168,0.89224,0.00108938,0.00108938,0.00108938
72,3005.82,1.04063,0.65623,0.88375,0.91204,0.93163,0.93266,0.63107,1.05671,0.66782,0.89552,0.00108113,0.00108113,0.00108113
73,3044.22,1.0258,0.64177,0.88057,0.90292,0.90007,0.92036,0.62214,1.06765,0.6877,0.89888,0.00107288,0.00107288,0.00107288
74,3087.34,1.0279,0.6447,0.88013,0.92932,0.92999,0.92506,0.62275,1.08573,0.68987,0.90314,0.00106463,0.00106463,0.00106463
75,3130.35,1.02557,0.64243,0.87449,0.90732,0.91764,0.92087,0.62314,1.04395,0.69493,0.89563,0.00105638,0.00105638,0.00105638
76,3176.59,1.02848,0.64774,0.88263,0.91177,0.91175,0.9233,0.62182,1.06456,0.70298,0.89852,0.00104813,0.00104813,0.00104813
77,3216.54,1.02226,0.65064,0.87806,0.92649,0.92079,0.93543,0.63795,1.04483,0.67132,0.89247,0.00103987,0.00103987,0.00103987
78,3258.09,1.01434,0.63113,0.87682,0.91695,0.93416,0.94036,0.64193,1.03798,0.67094,0.89502,0.00103162,0.00103162,0.00103162
79,3312.48,1.02225,0.64326,0.88152,0.9083,0.92384,0.91982,0.62189,1.03505,0.68718,0.89393,0.00102337,0.00102337,0.00102337
80,3357.92,1.01368,0.63434,0.87717,0.92172,0.93122,0.93214,0.63595,1.03525,0.67748,0.89259,0.00101512,0.00101512,0.00101512
81,3397.04,1.00989,0.64571,0.87756,0.91397,0.92794,0.92023,0.62517,1.04058,0.68349,0.89562,0.00100687,0.00100687,0.00100687
82,3440.2,1.00384,0.62576,0.87584,0.92479,0.93092,0.93428,0.63674,1.06352,0.66355,0.89765,0.000998616,0.000998616,0.000998616
83,3488.95,1.01471,0.62471,0.87772,0.90765,0.92843,0.92056,0.62442,1.05444,0.68139,0.89743,0.000990365,0.000990365,0.000990365
84,3529.57,1.00863,0.63042,0.87085,0.90603,0.91411,0.92679,0.62925,1.05166,0.68239,0.89512,0.000982113,0.000982113,0.000982113
85,3572.7,1.01479,0.63507,0.87108,0.92154,0.91955,0.93168,0.63836,1.03146,0.67687,0.89281,0.000973861,0.000973861,0.000973861
86,3617.46,1.00881,0.62363,0.87376,0.92416,0.92548,0.9476,0.64217,1.06147,0.668,0.89376,0.00096561,0.00096561,0.00096561
87,3659.34,0.99276,0.61053,0.87549,0.92628,0.92066,0.92837,0.63376,1.04994,0.68045,0.89245,0.000957358,0.000957358,0.000957358
88,3699.34,1.0077,0.62594,0.87274,0.92285,0.93104,0.93134,0.64245,1.04292,0.6632,0.89204,0.000949106,0.000949106,0.000949106
89,3747.62,0.97788,0.60398,0.87102,0.92727,0.94356,0.94503,0.64289,1.0457,0.65093,0.89274,0.000940855,0.000940855,0.000940855
90,3795.52,1.00159,0.63037,0.8742,0.92917,0.92496,0.93147,0.62912,1.0555,0.65414,0.89418,0.000932603,0.000932603,0.000932603
91,3840.89,0.98448,0.61479,0.87104,0.93235,0.93901,0.92425,0.63043,1.03768,0.6692,0.89215,0.000924352,0.000924352,0.000924352
92,3881.41,0.98361,0.62071,0.87523,0.92643,0.92833,0.93298,0.64294,1.03835,0.6516,0.89176,0.0009161,0.0009161,0.0009161
93,3921.98,0.99465,0.61624,0.87526,0.91043,0.93653,0.93974,0.64745,1.03441,0.65039,0.8911,0.000907848,0.000907848,0.000907848
94,3965.6,0.99411,0.61289,0.87221,0.92134,0.93283,0.92935,0.64161,1.04265,0.65341,0.8927,0.000899597,0.000899597,0.000899597
95,4010.37,0.99891,0.62262,0.87527,0.91313,0.92546,0.92323,0.63057,1.03412,0.6644,0.89324,0.000891345,0.000891345,0.000891345
96,4052.76,0.98386,0.61612,0.87452,0.92107,0.92759,0.92451,0.63929,1.02396,0.66703,0.89038,0.000883093,0.000883093,0.000883093
97,4092.3,0.98176,0.59657,0.87019,0.9238,0.93825,0.93452,0.64047,1.03167,0.66289,0.89222,0.000874842,0.000874842,0.000874842
98,4147.41,0.97613,0.61478,0.86834,0.92887,0.93986,0.93386,0.63673,1.04418,0.65752,0.89032,0.00086659,0.00086659,0.00086659
99,4189.61,0.96948,0.60774,0.86398,0.91776,0.93045,0.93116,0.64181,1.03327,0.66008,0.89164,0.000858338,0.000858338,0.000858338
100,4230.84,0.97705,0.60595,0.86811,0.92162,0.93734,0.9358,0.63762,1.0587,0.66375,0.89359,0.000850087,0.000850087,0.000850087
101,4275.53,0.97004,0.61171,0.87109,0.9184,0.92115,0.92307,0.6304,1.04737,0.67526,0.8932,0.000841835,0.000841835,0.000841835
102,4323.24,0.97058,0.5971,0.87126,0.92319,0.93175,0.92752,0.6348,1.04476,0.66291,0.89226,0.000833583,0.000833583,0.000833583
103,4363.97,0.97528,0.59845,0.86326,0.91984,0.92873,0.92407,0.63398,1.03763,0.67258,0.88955,0.000825332,0.000825332,0.000825332
104,4406.67,0.97362,0.60724,0.86897,0.92294,0.9295,0.93331,0.64358,1.04632,0.65641,0.88914,0.00081708,0.00081708,0.00081708
105,4451.22,0.98124,0.61176,0.87056,0.92642,0.92384,0.93035,0.63776,1.03793,0.6626,0.88945,0.000808828,0.000808828,0.000808828
106,4496.54,0.9719,0.59805,0.87031,0.92411,0.92967,0.92826,0.6353,1.04686,0.65055,0.89099,0.000800577,0.000800577,0.000800577
107,4534.47,0.97507,0.60782,0.86501,0.92267,0.92689,0.92182,0.63489,1.04965,0.6495,0.89382,0.000792325,0.000792325,0.000792325
108,4579.29,0.95248,0.60489,0.86854,0.92637,0.92608,0.92808,0.63738,1.037,0.65652,0.89014,0.000784073,0.000784073,0.000784073
109,4625.24,0.96829,0.60604,0.86462,0.92132,0.92642,0.92191,0.6368,1.04098,0.66373,0.89044,0.000775822,0.000775822,0.000775822
